original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,"Total part - time , first - time , first - year of another gender who enrolled",,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,"Total first - time , first - year ( degree - seeking ) who applied",16626,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,"Total first - time , first - year ( degree - seeking ) who were admitted",448,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,"Total first - time , first - year ( degree - seeking ) enrolled",224,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,,Very Important,Important,Considered,"Not
Considered",
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Academic,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Rigor of secondary school record,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Class rank,,,,,
Caltech Common Data Set 2022-23_Published_June 2023.pdf,0,https://nnts.imgix.net/uploadedfiles/0c034da0-759c-4d23-8b3a-f7613cedc80e/PredictionImages/3f1e75fa-dc4e-426f-8ae9-4093da227466-1.jpeg?expires=1705878990&or=0&s=dd2c5629901e0374c706a8c0a9894792,https://app.nanonets.com/#/ocr/test/0c034da0-759c-4d23-8b3a-f7613cedc80e/271ed019-b891-11ee-beb3-927626149a49,Academic GPA,,,,,
